"rank","points","status","profile url","name","joined","gold medals","silver medals","bronze medals"
"1455","45","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kimchanyoung","Chanyoung Kim","2 years ago","0","0","60"
"1456","45","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/gauravmehta13","Gaurav Yadav","2 years ago","3","5","65"
"1457","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/dansbecker","DanB","11 years ago","10","17","210"
"1458","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/weimin","Weimin Wang","8 years ago","5","2","43"
"1459","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tomwarrens","Tommaso Guerrini","7 years ago","0","1","101"
"1460","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/baomengjiao","spongebob","5 years ago","15","13","83"
"1461","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/saimasharleen","Saima Sharleen","5 years ago","1","0","53"
"1462","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/joeytaj","Paradox","5 years ago","6","10","62"
"1463","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/saiyanwarrior","Saiyan Warrior","5 years ago","0","3","53"
"1464","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/cwinsnes","Casper Winsnes","4 years ago","1","4","53"
"1465","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/httpwwwfszyc","SchenbergZ","4 years ago","0","6","53"
"1466","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/utkukubilay","Utku_Kubilay","3 years ago","2","6","142"
"1467","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/anirudhchauhan","Anirudh Singh Chauhan","3 years ago","0","1","94"
"1468","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/chirag9073","Chirag Samal","3 years ago","2","2","164"
"1469","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rishabh6377","Rishabh Sethia","3 years ago","1","2","70"
"1470","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rude009","Rupesh Deshmukh","3 years ago","0","1","112"
"1471","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/dssant85","Santosh Kumar","3 years ago","0","0","204"
"1472","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/diegojohnson","DiegoJohnson","3 years ago","4","4","115"
"1473","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/pierrelouisdanieau","Pierre-Louis DANIEAU","3 years ago","0","0","57"
"1474","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jessemostipak","Jesse Mostipak","3 years ago","3","8","46"
"1475","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/akhileshdkapse","Akhilesh D. Kapse","2 years ago","1","4","67"
"1476","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/prashantpathak244","Prashant Pathak","2 years ago","0","0","63"
"1477","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tarunsolanki","Tarun Thakur","2 years ago","0","1","80"
"1478","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sh0wmaker","SHOWMAKER","a year ago","0","0","97"
"1479","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vanshsharma10","Vansh Sharma","a year ago","0","1","54"
"1480","44","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/shardulmehetar","$hardul_7","a year ago","0","0","63"
"1481","43","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jakubczakon","Jakub Czakon","8 years ago","9","10","111"
"1482","43","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/johnpateha","Evgeny Patekha","7 years ago","10","7","48"
"1483","43","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/agenlu","agenlu","5 years ago","1","0","53"
"1484","43","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/prashantkikani","Prashant Kikani","5 years ago","5","6","130"
"1485","43","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/zyper26","Shubham Chaurasia","5 years ago","1","0","62"
"1486","43","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/talktocharles","Charles","5 years ago","2","4","60"
"1487","43","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vishnu123","Naruke","5 years ago","0","0","74"
"1488","43","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/adnanzaidi","Adnan Zaidi","4 years ago","2","5","76"
"1489","43","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/chongchong33","cc","4 years ago","0","1","105"
"1490","43","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ahmadjaved097","Ahmad Javed","4 years ago","0","0","119"
"1491","43","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/fiyeroleung","Salaryman","4 years ago","2","3","77"
"1492","43","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/deepakdeepu8978","Deepak Deepu","3 years ago","3","8","94"
"1493","43","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ranjeetshrivastav","Ranjeet shrivastav","2 years ago","0","0","85"
"1494","43","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/bayartsogtya","Bayartsogt Yadamsuren","2 years ago","1","3","79"
"1495","43","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/artempozdniakov","Artem Pozdniakov","2 years ago","0","0","122"
"1496","43","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rajkumarl","Rajkumar Lakshmanamoorthy","2 years ago","1","0","66"
"1497","43","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mejbahahammad","MEJBAH AHAMMAD","2 years ago","0","2","121"
"1498","43","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tanushagupta","Tanusha Gupta","2 years ago","1","2","57"
"1499","43","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ironbatshashank","Shashank Srivastava","a year ago","0","0","90"
"1500","43","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/hoangphamviet","Hoang Pham Viet","a year ago","1","2","55"
"1501","42","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jackvial","Jack Vial","5 years ago","4","7","143"
"1502","42","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/harunshimanto","Harun-Ur-Rashid","5 years ago","2","2","111"
"1503","42","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/aswathrao","Aswath Rao V S","5 years ago","0","1","167"
"1504","42","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/atulanandjha","Atul Anand {Jha}","4 years ago","2","3","167"
"1505","42","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sukanthen","Sukanthen SS","3 years ago","0","2","134"
"1506","42","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sahidvelji","Sahid Velji","3 years ago","1","6","100"
"1507","42","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/pinaroner","Pinar Oner","2 years ago","0","0","54"
"1508","42","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/omkarpatil0217","Omkar Patil","a year ago","0","3","64"
"1509","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/usamec","Vlado Boza","11 years ago","9","5","69"
"1510","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/panosc","Panos","8 years ago","12","12","91"
"1511","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/francoisdubois","François","7 years ago","9","13","127"
"1512","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/brandao","Humberto Brandão, Ph.D.","7 years ago","7","16","127"
"1513","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/purplejester","Ilia Zaitsev","6 years ago","0","4","77"
"1514","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/dskswu","William Green","6 years ago","1","5","161"
"1515","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vbookshelf","vbookshelf","5 years ago","2","6","64"
"1516","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/maxjon","Max","5 years ago","5","8","46"
"1517","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/luigisaetta","Luigi Saetta","5 years ago","2","4","52"
"1518","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ratan123","ratan rohith","4 years ago","1","3","241"
"1519","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sdoria","S D","4 years ago","5","13","79"
"1520","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sid321axn","Manu Siddhartha","4 years ago","0","0","89"
"1521","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sid9300","Siddharth Kashyap","4 years ago","0","1","52"
"1522","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/khotijahs1","Siti Khotijah","4 years ago","1","0","112"
"1523","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/albernard","Avik","4 years ago","3","3","46"
"1524","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/saleesh","Saleesh","3 years ago","0","0","66"
"1525","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kartikgo","Kartik Gaur","3 years ago","0","0","57"
"1526","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ridhijhamb","Ridhi Jhamb","3 years ago","0","0","74"
"1527","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/omercansvgn","Ömercan Savgan","3 years ago","0","0","159"
"1528","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/omarmohamed22","Omar Mohamed","3 years ago","1","0","90"
"1529","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/cerolacia","Anubha Singh","3 years ago","0","0","117"
"1530","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tasnimnishatislam","Tasnim Nishat Islam","3 years ago","3","2","89"
"1531","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/aayushmishra1512","Aayush Mishra","3 years ago","0","3","131"
"1532","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rajviishah","Rajvi Shah","3 years ago","2","2","53"
"1533","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/roblexnana","roblex nana","3 years ago","1","1","158"
"1534","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/petercnudde","Peter Cnudde","3 years ago","1","3","68"
"1535","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/atharvchaudhari","Atharv Chaudhari","2 years ago","0","0","69"
"1536","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/shreyasajal","Shreya Sajal","2 years ago","0","0","83"
"1537","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vyombhatia","vyom bhatia","2 years ago","0","1","113"
"1538","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/virajkadam","viraj kadam","2 years ago","0","0","57"
"1539","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/saiabhitejachepuri","saiabhiteja Chepuri","2 years ago","1","1","57"
"1540","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vijayvvenkitesh","Vijay V Venkitesh","2 years ago","0","1","53"
"1541","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/aryakrishnanar","Arya krishnan A R","2 years ago","0","1","62"
"1542","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/fathimashemeema","Fathima Shemeema","2 years ago","0","1","74"
"1543","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/yasinnaal","Yasin Naal","2 years ago","0","0","82"
"1544","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/dikshabhati2002","Diksha Bhati","2 years ago","0","1","98"
"1545","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tasneemabdulrahim","Tasneem Abdul Rahim","2 years ago","0","1","89"
"1546","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/aliaamiri","Ali A.Amiri","2 years ago","0","0","55"
"1547","41","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/chiru12","Chiru12","a year ago","0","4","64"
"1548","40","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ambarish","Bukun","9 years ago","1","6","211"
"1549","40","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/bowdenjr","Jonathan Bowden","5 years ago","1","5","50"
"1550","40","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/yovinyahathugoda","Yovin Yahathugoda","5 years ago","0","2","81"
"1551","40","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/dkaraflos","Dimosthenis Karaflos","4 years ago","3","13","87"
"1552","40","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/themonologue","Manraj Singh","4 years ago","7","3","59"
"1553","40","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/podsyp","podsyp","4 years ago","1","1","117"
"1554","40","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/eladwar","Pythonian","4 years ago","3","2","60"
"1555","40","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vishynair","Vishak Nair","3 years ago","0","3","112"
"1556","40","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rachidyz","RachidYZ","3 years ago","0","1","104"
"1557","40","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/siddharthtyagi","Siddharth Tyagi","3 years ago","0","0","84"
"1558","40","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tanujdhiman","Tanuj dhiman","3 years ago","1","2","100"
"1559","40","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/amrut11","Amrut Kulkarni","2 years ago","2","0","92"
"1560","40","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/shunokamoto","shun.okamoto","2 years ago","0","0","152"
"1561","40","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/danielebaldoni","Daniele Baldoni","2 years ago","0","0","61"
"1562","40","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/joanneanto","Joanne Anto","2 years ago","0","2","61"
"1563","40","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/parvav","Parv Yadav","a year ago","0","0","60"
"1564","40","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/noonamed","noo named","7 months ago","0","0","51"
"1565","39","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mpsampat","Mehul Sampat","9 years ago","1","8","83"
"1566","39","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/skylord","SkyLord","8 years ago","2","4","57"
"1567","39","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/krivenkozz","Sergii Kryvenko","6 years ago","1","0","59"
"1568","39","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/dannellyz","Zac Dannelly","5 years ago","4","4","49"
"1569","39","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/yuvaramsingh","yuvaramsingh","5 years ago","2","5","43"
"1570","39","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mastmustu","Mustafa Fatakdawala","4 years ago","0","7","93"
"1571","39","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jurk06","Rabi Kumar Singh","4 years ago","0","0","87"
"1572","39","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/msharuk589","MhdSharuk","3 years ago","1","5","106"
"1573","39","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/msp99000","M i K e e","3 years ago","0","0","60"
"1574","39","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/achintyatripathi","Achintya Tripathi","3 years ago","1","4","103"
"1575","39","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/iniestamoh","Mohamed Iniesta","3 years ago","0","0","67"
"1576","39","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tchaye59","Jude TCHAYE","3 years ago","2","3","47"
"1577","39","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/maricinnamon","Maryna Antonevych","3 years ago","0","0","58"
"1578","39","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/alexj21","Alex","3 years ago","0","4","83"
"1579","39","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/feritebrargrler","Ferit Ebrar Gürler","2 years ago","0","0","83"
"1580","39","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sujan97","Sujan Shirol","2 years ago","2","1","90"
"1581","39","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vkehfdl1","Dongkyu Kim","2 years ago","1","1","81"
"1582","39","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/alyeasin","Al Yeasin","2 years ago","0","0","87"
"1583","39","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/gleblevankov","Gleb Levankov","2 years ago","0","0","65"
"1584","39","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ahmtcnbs","AHMET BAŞ","2 years ago","0","0","92"
"1585","39","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sayhemrahman","Sayhem Rahman","2 years ago","0","0","73"
"1586","39","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/corneliuskristianto","Cornelius Kristianto","a year ago","0","0","67"
"1587","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/glimmung","Tord Malmgren","8 years ago","0","5","77"
"1588","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/crawford","Chris Crawford","7 years ago","15","23","158"
"1589","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/pliptor","Oscar Takeshita","5 years ago","2","13","460"
"1590","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sergeyzlobin","Sergey Zlobin","5 years ago","0","5","156"
"1591","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/pashupatigupta","Pashupati Gupta","5 years ago","1","4","57"
"1592","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mnpinto","Miguel Pinto","5 years ago","7","8","55"
"1593","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/chocozzz","SeaOtter","4 years ago","5","5","132"
"1594","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ayush0510","Ayush Singh","4 years ago","0","0","58"
"1595","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/dunklerwald","ELEVEN","4 years ago","1","3","57"
"1596","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/gopidurgaprasad","Gopi Durgaprasad","4 years ago","2","4","65"
"1597","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vishnu0399","Vishnu U","4 years ago","0","0","54"
"1598","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/nancydrew","Mansi","4 years ago","0","0","67"
"1599","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/volkandl","Volkan Özdemir","4 years ago","0","0","74"
"1600","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mistag","Geir Drange","3 years ago","0","2","71"
"1601","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/manchunhui","Manch Hui","3 years ago","0","2","104"
"1602","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/agsam23","Abhishek Gupta","3 years ago","0","10","57"
"1603","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/thaddeussegura","Thaddeus Segura","3 years ago","0","2","111"
"1604","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mansipriya","Mansi Priya","2 years ago","1","4","89"
"1605","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/abrahamanderson","Abraham Anderson","2 years ago","0","0","76"
"1606","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/trooperog","Shubham Thapa","2 years ago","1","3","53"
"1607","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/lucabergamini","Luca Bergamini","2 years ago","1","8","43"
"1608","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/yashsharmabharatpur","YashSharma","2 years ago","0","0","84"
"1609","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/anirbansarkar823","Anirban Sarkar","2 years ago","0","0","51"
"1610","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/barisscal","Baris Cal","a year ago","0","0","93"
"1611","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/galaxygeorge","Galaxy George","a year ago","0","0","53"
"1612","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/hnazari8665","Hajar_Nazari","a year ago","0","0","67"
"1613","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mahyamahjoob","Mahya Mahjoob","a year ago","0","0","65"
"1614","38","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/yuyougnchan","Dev_Youngchan","a year ago","0","0","59"
"1615","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vishnus","Vishnu Subramanian","9 years ago","4","6","72"
"1616","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/opanichev","Oleg Panichev","8 years ago","5","11","56"
"1617","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/priteshshrivastava","Pritesh Shrivastava","8 years ago","2","9","119"
"1618","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/solomonk","QuantScientist","6 years ago","9","8","85"
"1619","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/enric1296","EnricRovira","5 years ago","1","4","55"
"1620","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/danmoller","Daniel Möller","5 years ago","7","12","220"
"1621","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/xvivancos","Xavier","5 years ago","0","0","401"
"1622","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/meaninglesslives","Siddhartha","5 years ago","4","4","56"
"1623","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/alanchn31","Alan Choon","5 years ago","2","2","62"
"1624","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/chekoduadarsh","Adarsh C","5 years ago","1","8","98"
"1625","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ibtesama","Ibtesam Ahmed","5 years ago","3","2","49"
"1626","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/pawanbhandarkar","Pawan Bhandarkar","4 years ago","1","2","69"
"1627","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/al0kharba","Kiram Al-Kharba","3 years ago","2","1","51"
"1628","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/prajittr","Prajit T R","3 years ago","0","2","64"
"1629","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/slowlearnermack","Mukesh Bhandarkar","3 years ago","1","0","71"
"1630","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kickitlikeshika","Ahmed Khaled","3 years ago","0","0","107"
"1631","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mdmahmudferdous","Md Mahmud Ferdous","3 years ago","1","3","136"
"1632","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/shyamgupta196","SHYAM GUPTA","2 years ago","0","1","83"
"1633","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/nalkrolu","Unal KOROGLU","2 years ago","0","0","95"
"1634","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vedanthbaliga","Vedanth Baliga","2 years ago","1","0","76"
"1635","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tejashvi14","Tejashvi","2 years ago","0","0","78"
"1636","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/urstrulysai","sai kumar","2 years ago","0","1","53"
"1637","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/hammad40241","HammadAsif","2 years ago","0","0","86"
"1638","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/isurumahakumara","Isuru Mahakumara","a year ago","0","0","59"
"1639","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/bentorchakarim","Elgebr","a year ago","0","0","53"
"1640","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/saliblue","Salio","a year ago","0","0","67"
"1641","37","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/muhammadmaaz2594","Muhammad Maaz","a year ago","0","0","62"
"1642","36","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/breakfastpirate","BreakfastPirate","11 years ago","65","66","283"
"1643","36","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/prmohanty","P_R_Mohanty","5 years ago","2","8","200"
"1644","36","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/nareyko","Vadim Nareyko","5 years ago","6","3","79"
"1645","36","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mykttu","Md Yasin Kabir","5 years ago","3","5","55"
"1646","36","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/seif95","Seifeddine Fezzani","4 years ago","4","8","52"
"1647","36","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/aagghh","Anton","4 years ago","2","0","72"
"1648","36","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/saife245","SAIF UDDIN","4 years ago","0","1","163"
